product id,product name,category,warehouse,location,quantity,price,supplier,status,last restocked
1860, widget a ,CLOTHING,Warehouse 2,Aisle 3,100,19.99,Supplier B,In Stock,20/12/2022
1270, gadget z ,TOYS,Warehouse 2,Aisle 4,50,49.99,Supplier B,In Stock,20/12/2022
1106, widget a ,FURNITURE,Warehouse 3,Aisle 3,two hundred,9.99,Supplier D,Out of Stock,25/04/2023
1071, widget b ,CLOTHING,Warehouse 3,Aisle 5,300,28.310726172465966,Supplier A,In Stock,20/12/2022
1700, widget a ,CLOTHING,Warehouse 2,Aisle 2,two hundred,49.99,Supplier B,In Stock,20/12/2022
1020, widget c ,CLOTHING,Warehouse 1,Aisle 5,two hundred,9.99,Supplier D,Out of Stock,20/12/2022
1614, gadget y ,ELECTRONICS,Warehouse 3,Aisle 3,300,9.99,Supplier B,Out of Stock,05/03/2023
1121, widget b ,TOYS,Warehouse 1,Aisle 2,50,19.99,Supplier C,Out of Stock,20/12/2022
1214, gadget z ,FURNITURE,Warehouse 2,Aisle 1,50,9.99,Supplier A,Low Stock,15/01/2023
1330, widget c ,TOYS,Warehouse 3,Aisle 4,150,9.99,Supplier B,In Stock,25/04/2023
1458, widget c ,FURNITURE,Warehouse 2,Aisle 3,300,49.99,Supplier A,Low Stock,05/03/2023
1087, widget a ,TOYS,Warehouse 3,Aisle 3,50,28.310726172465966,Supplier C,Out of Stock,15/01/2023
1372, gadget y ,FURNITURE,Warehouse 2,Aisle 1,two hundred,49.99,Supplier A,Low Stock,05/03/2023
1099, widget a ,ELECTRONICS,Warehouse 2,Aisle 5,300,49.99,Supplier B,Out of Stock,05/03/2023
1871, widget b ,CLOTHING,Warehouse 2,Aisle 2,100,28.310726172465966,Supplier D,Out of Stock,25/04/2023
1663, widget a ,FURNITURE,Warehouse 2,Aisle 5,50,49.99,Supplier C,Low Stock,05/03/2023
1130, widget c ,TOYS,Warehouse 1,Aisle 5,300,9.99,Supplier B,Out of Stock,20/12/2022
1661, widget a ,CLOTHING,Warehouse 2,Aisle 1,50,49.99,Supplier C,Low Stock,05/03/2023
1308, gadget y ,CLOTHING,Warehouse 1,Aisle 1,300,28.310726172465966,Supplier C,Out of Stock,25/04/2023
1769, gadget z ,TOYS,Warehouse 1,Aisle 1,two hundred,29.99,Supplier B,In Stock,25/04/2023
1343, gadget x ,FURNITURE,Warehouse 2,Aisle 4,100,49.99,Supplier B,In Stock,25/04/2023
1491, widget a ,ELECTRONICS,Warehouse 1,Aisle 5,100,19.99,Supplier D,Out of Stock,15/01/2023
1413, gadget y ,ELECTRONICS,Warehouse 3,Aisle 3,150,9.99,Supplier C,Out of Stock,20/12/2022
1805, gadget y ,FURNITURE,Warehouse 2,Aisle 2,300,9.99,Supplier C,Low Stock,15/01/2023
1191, widget c ,CLOTHING,Warehouse 2,Aisle 3,100,19.99,Supplier A,Low Stock,20/12/2022
1955, gadget y ,CLOTHING,Warehouse 2,Aisle 5,100,49.99,Supplier B,Out of Stock,05/03/2023
1459, gadget y ,CLOTHING,Warehouse 3,Aisle 2,100,28.310726172465966,Supplier D,Out of Stock,20/12/2022
1313, widget b ,TOYS,Warehouse 3,Aisle 4,300,19.99,Supplier A,In Stock,15/01/2023
1021, widget b ,CLOTHING,Warehouse 1,Aisle 4,150,19.99,Supplier B,Low Stock,25/04/2023
1252, widget c ,ELECTRONICS,Warehouse 2,Aisle 2,100,29.99,Supplier D,In Stock,15/01/2023
1747, widget a ,CLOTHING,Warehouse 1,Aisle 3,two hundred,9.99,Supplier C,In Stock,20/12/2022
1856, gadget y ,FURNITURE,Warehouse 1,Aisle 3,50,9.99,Supplier B,In Stock,20/12/2022
1474, widget a ,FURNITURE,Warehouse 2,Aisle 4,two hundred,29.99,Supplier D,Out of Stock,05/03/2023
1058, gadget z ,FURNITURE,Warehouse 1,Aisle 1,150,28.310726172465966,Supplier C,In Stock,15/01/2023
1681, widget c ,FURNITURE,Warehouse 1,Aisle 2,50,29.99,Supplier D,In Stock,25/04/2023
1475, gadget y ,FURNITURE,Warehouse 3,Aisle 3,50,28.310726172465966,Supplier D,Out of Stock,05/03/2023
1975, gadget x ,TOYS,Warehouse 1,Aisle 4,300,28.310726172465966,Supplier C,Low Stock,15/01/2023
1782, gadget z ,FURNITURE,Warehouse 3,Aisle 4,two hundred,28.310726172465966,Supplier C,Out of Stock,20/12/2022
1957, widget a ,FURNITURE,Warehouse 2,Aisle 2,two hundred,29.99,Supplier A,Low Stock,15/01/2023
1957, gadget x ,TOYS,Warehouse 3,Aisle 5,50,19.99,Supplier A,Low Stock,05/03/2023
1562, widget b ,ELECTRONICS,Warehouse 2,Aisle 4,150,29.99,Supplier C,Low Stock,20/12/2022
1566, widget b ,CLOTHING,Warehouse 3,Aisle 1,two hundred,49.99,Supplier D,Out of Stock,25/04/2023
1243, gadget z ,TOYS,Warehouse 2,Aisle 1,two hundred,9.99,Supplier B,In Stock,25/04/2023
1831, gadget z ,TOYS,Warehouse 2,Aisle 4,300,28.310726172465966,Supplier D,Low Stock,20/12/2022
1504, widget c ,CLOTHING,Warehouse 3,Aisle 3,50,19.99,Supplier C,Out of Stock,20/12/2022
1130, widget c ,ELECTRONICS,Warehouse 3,Aisle 5,two hundred,9.99,Supplier C,In Stock,05/03/2023
1484, widget b ,CLOTHING,Warehouse 3,Aisle 2,100,28.310726172465966,Supplier C,In Stock,20/12/2022
1020, gadget z ,TOYS,Warehouse 3,Aisle 4,300,19.99,Supplier D,In Stock,20/12/2022
1840, gadget x ,ELECTRONICS,Warehouse 2,Aisle 3,150,49.99,Supplier C,In Stock,25/04/2023
1273, gadget z ,TOYS,Warehouse 1,Aisle 3,300,28.310726172465966,Supplier A,In Stock,25/04/2023
1315, widget a ,TOYS,Warehouse 3,Aisle 1,100,49.99,Supplier B,In Stock,15/01/2023
1013, widget a ,TOYS,Warehouse 2,Aisle 5,50,19.99,Supplier C,Low Stock,25/04/2023
1776, gadget y ,TOYS,Warehouse 3,Aisle 4,300,49.99,Supplier C,Out of Stock,05/03/2023
1345, gadget z ,FURNITURE,Warehouse 3,Aisle 4,two hundred,19.99,Supplier A,In Stock,20/12/2022
1564, widget b ,FURNITURE,Warehouse 1,Aisle 1,100,28.310726172465966,Supplier C,Low Stock,15/01/2023
1897, widget c ,FURNITURE,Warehouse 3,Aisle 4,100,28.310726172465966,Supplier C,Low Stock,20/12/2022
1339, widget c ,FURNITURE,Warehouse 3,Aisle 1,300,9.99,Supplier B,In Stock,05/03/2023
1091, gadget z ,ELECTRONICS,Warehouse 1,Aisle 5,300,49.99,Supplier A,Out of Stock,15/01/2023
1366, gadget x ,CLOTHING,Warehouse 3,Aisle 2,150,19.99,Supplier A,In Stock,05/03/2023
1955, widget b ,ELECTRONICS,Warehouse 1,Aisle 5,150,29.99,Supplier B,Out of Stock,20/12/2022
1427, widget b ,ELECTRONICS,Warehouse 2,Aisle 3,100,19.99,Supplier D,In Stock,20/12/2022
1508, widget b ,ELECTRONICS,Warehouse 2,Aisle 3,two hundred,49.99,Supplier A,In Stock,20/12/2022
1942, gadget z ,TOYS,Warehouse 3,Aisle 4,150,28.310726172465966,Supplier C,Out of Stock,25/04/2023
1034, widget c ,TOYS,Warehouse 1,Aisle 2,two hundred,19.99,Supplier C,Out of Stock,05/03/2023
1205, widget c ,ELECTRONICS,Warehouse 3,Aisle 3,50,19.99,Supplier A,Low Stock,05/03/2023
1080, widget b ,ELECTRONICS,Warehouse 1,Aisle 3,150,19.99,Supplier C,In Stock,05/03/2023
1871, gadget z ,CLOTHING,Warehouse 1,Aisle 3,50,49.99,Supplier D,Out of Stock,20/12/2022
1001, gadget x ,TOYS,Warehouse 3,Aisle 3,150,19.99,Supplier C,Low Stock,25/04/2023
1389, gadget z ,FURNITURE,Warehouse 2,Aisle 5,100,28.310726172465966,Supplier D,Out of Stock,05/03/2023
1476, gadget y ,TOYS,Warehouse 1,Aisle 5,two hundred,29.99,Supplier B,Out of Stock,05/03/2023
